"Why can't sibling components in Angular directly bind properties or send events to each other?","Angular has no sibling-to-sibling binding mechanism. Data flows strictly down via <code>@Input()</code> and up via <code>@Output()</code> to their shared direct parent, which acts as the switchboard."
"What is the correct way for a deeply nested grandchild component to pass an event up to a grandparent component?","The grandchild emits an <code>@Output()</code> event to its direct parent. The parent's template catches it and explicitly re-emits its own <code>@Output()</code> event up to the grandparent (one hop at a time)."
"Why does <code>ngOnInit()</code> fail to update a component when a parent modifies an <code>@Input()</code> property later in the application lifecycle?","<code>ngOnInit()</code> is a <b>one-time</b> lifecycle hook that runs only once after the initial input setup. It does not re-run when <code>@Input()</code> values change later."
"When should you choose an <code>@Input()</code> setter instead of implementing <code>ngOnChanges()</code>?","Use an <code>@Input()</code> setter when you need simple, self-contained logic that reacts to changes in a <b>single input</b>, without needing access to previous values or other input properties."
"Why must a parent component pass a new object reference (e.g., <code>{ ...this.settings, maxLength: 200 }</code>) when updating an <code>@Input()</code> object?","Angular compares object inputs <b>by reference</b>. Mutating an object's properties in place does not change its memory reference, so Angular's change detection and <code>ngOnChanges</code> will not detect the change."
"What rule must be followed when defining an <code>@Input()</code> setter in TypeScript?","You must define both a <code>set</code> and a matching <code>get</code> property. Without a getter, TypeScript will prevent the property from being read inside the class or template."
"What is the risk of using an untyped <code>EventEmitter()</code> (or <code>EventEmitter&lt;any&gt;</code>)?","It removes TypeScript's type safety net, allowing type mismatches between the payload emitted by the child and the argument expected by the parent's handler to pass without compile errors."
"Why should child components extract DOM values before emitting (e.g., <code>(e.target as HTMLTextAreaElement).value</code>)?","Extracting the value inside the child ensures it emits clean domain data (like a <code>string</code>), keeping DOM-specific implementation details contained within the child component."
"What is the guaranteed execution order of component lifecycle events in Angular?","1. <b>Constructor</b><br>2. <b><code>ngOnChanges()</code></b> (first run)<br>3. <b><code>ngOnInit()</code></b><br>4. <b><code>ngOnChanges()</code></b> (on subsequent input updates)<br>5. <b><code>ngOnDestroy()</code></b> (before removal)"
"Why should setup logic that depends on <code>@Input()</code> properties be placed in <code>ngOnInit()</code> instead of the <code>constructor()</code>?","The class <code>constructor()</code> runs during plain TypeScript object instantiation before Angular has assigned <code>@Input()</code> values. <code>ngOnInit()</code> is guaranteed to run after initial inputs are set."
"What is the primary benefit of adding TypeScript interfaces like <code>implements OnInit, OnDestroy</code> to a component class?","They provide compile-time type checking. If you misspell a hook name (e.g., <code>ngOnDestory</code>), TypeScript will throw a compilation error rather than letting the method silently fail at runtime."
"What object parameter does the <code>ngOnChanges()</code> lifecycle hook receive?","It receives a <code>SimpleChanges</code> object containing key-value pairs for only the <code>@Input()</code> properties that changed during that specific change-detection cycle."
"In <code>ngOnChanges(changes: SimpleChanges)</code>, how do you retrieve the value of an input named <code>text</code> prior to the update?","Use <code>changes['text'].previousValue</code>.<br><br><i>Note: <code>this.text</code> already holds the new value by the time <code>ngOnChanges</code> executes.</i>"
"What does <code>changes['text'].firstChange</code> evaluate to on the very first call to <code>ngOnChanges()</code>?","It evaluates to <code>true</code>. On all subsequent calls for that input property, it evaluates to <code>false</code>."
"Why is key-guarding (e.g., <code>if (changes['text'])</code>) essential inside <code>ngOnChanges()</code> for components with multiple inputs?","<code>ngOnChanges()</code> fires whenever <b>any</b> input changes. Key-guarding ensures logic specific to one property only runs when that specific property actually changed in that cycle."
"In a scenario where a parent clears text to <code>''</code>, why must a stats panel child component use <code>ngOnChanges()</code> to reset its counts?","Because <code>ngOnInit()</code> only runs once upon creation. Only <code>ngOnChanges()</code> runs on subsequent input updates to recalculate and reset displayed counts live."
"Under what condition will <code>ngOnChanges()</code> NOT fire for a component?","It will not fire if the component has no <code>@Input()</code> properties, or if none of its bound <code>@Input()</code> properties changed during the change-detection pass."
"When exactly does the <code>ngOnDestroy()</code> lifecycle hook execute?","It executes <b>exactly once</b>, synchronously, immediately before Angular removes the component instance from the DOM and detaches it from change detection."
"Why do background timers like <code>setInterval()</code> cause memory leaks if not cleaned up in <code>ngOnDestroy()</code>?","The browser keeps references to running timers alive even after the component's DOM node is removed, executing callbacks on an unrendered component instance."
"Which types of event listeners require manual cleanup in <code>ngOnDestroy()</code> versus template bindings like <code>(click)=""...""</code>?","Listeners manually attached to global objects (e.g., <code>window.addEventListener</code>) require manual cleanup. Template bindings managed by Angular are cleaned up automatically."
"How do you safely clean up a <code>setTimeout</code> reference inside <code>ngOnDestroy()</code>?","Store the timer handle in a property (e.g., <code>private timerId?: ReturnType&lt;typeof setTimeout&gt;</code>) and execute <code>clearTimeout(this.timerId)</code> inside <code>ngOnDestroy()</code>."
"What primary role does <b>Zone.js</b> play in Angular's default change-detection system?","Zone.js patches asynchronous browser APIs (DOM events, timers, Promises) to notify Angular whenever an async task completes, triggering a change-detection pass."
"What happens across the component tree during a default Angular change-detection pass?","Angular traverses every component top-to-bottom, re-evaluates template expressions, updates changed DOM nodes, and calls <code>ngOnChanges()</code> for children with updated <code>@Input()</code>s."
"Does updating a class property inside a standard <code>(input)</code> or <code>(click)</code> handler require manual change detection triggers?","No. Standard template event handlers are patched by Zone.js, which automatically triggers a change-detection pass right after the handler function completes."
"What is the fundamental difference between Change Detection and the <code>ngOnChanges()</code> lifecycle hook?","<b>Change Detection</b> is Angular's overall tree-walking mechanism to update the DOM.<br><br><b><code>ngOnChanges()</code></b> is just one lifecycle hook called during that process when input values change."
"Why should state be held in a common parent component in a multi-component hierarchy?","Holding shared state in the parent maintains a single source of truth and keeps data flow traceable, since siblings cannot communicate directly."
"When a settings component allows editing nested settings, how should it emit updates to preserve immutability?","It should emit a completely new object (e.g., <code>this.settingsChanged.emit({ ...this.settings, maxLength: newLimit })</code>) rather than mutating existing properties."
"How does <code>[maxlength]=""limitEnabled ? maxLength : null""</code> affect the native HTML textarea element?","When <code>limitEnabled</code> is true, it sets the native <code>maxlength</code> attribute to the number value. When false (<code>null</code>), Angular completely removes the attribute from the DOM element."
"How does <code>*ngIf=""false""</code> differ from CSS <code>display: none</code> regarding component lifecycles?","<b><code>*ngIf=""false""</code>:</b> Completely destroys the component and triggers <code>ngOnDestroy()</code>.<br><br><b>CSS <code>display: none</code>:</b> Keeps the component mounted in the DOM and active in change detection."
"Why is reference replacement required for non-primitive inputs when preparing for <code>OnPush</code> change detection?","Reference-based checks only evaluate memory addresses. If the reference address doesn't change, Angular assumes the data is identical and skips view re-rendering."
